detector,descriptor,frameindex,ttc_lidar,ttc_camera
SHITOMASI,BRISK,1,12.9722,10.1047
SHITOMASI,BRISK,2,12.264,8.38261
SHITOMASI,BRISK,3,16.963,10.1841
SHITOMASI,BRISK,4,12.4855,9.87032
SHITOMASI,BRISK,5,13.2465,11.5656
SHITOMASI,BRISK,6,7.14812,10.8368
SHITOMASI,BRISK,7,34.3404,8.39747
SHITOMASI,BRISK,8,28.9577,11.1921
SHITOMASI,BRISK,9,12.2426,10.4028
SHITOMASI,BRISK,10,13.7297,9.24353
SHITOMASI,BRISK,11,11.3061,8.45474
SHITOMASI,BRISK,12,9.44414,8.75087
SHITOMASI,BRISK,13,9.22307,11.3948
SHITOMASI,BRISK,14,10.9678,7.90047
SHITOMASI,BRISK,15,8.09422,7.36474
SHITOMASI,BRISK,16,8.81392,6.81673
SHITOMASI,BRISK,17,10.2926,7.68487
SHITOMASI,BRISK,18,8.30978,6.49923
SHITOMASI,BRIEF,1,12.9722,8.44223
SHITOMASI,BRIEF,2,12.264,5.69234
SHITOMASI,BRIEF,3,16.963,5.71804
SHITOMASI,BRIEF,4,12.4855,7.8694
SHITOMASI,BRIEF,5,13.2465,7.78884
SHITOMASI,BRIEF,6,7.14812,8.35318
SHITOMASI,BRIEF,7,34.3404,6.96615
SHITOMASI,BRIEF,8,28.9577,8.03686
SHITOMASI,BRIEF,9,12.2426,9.91952
SHITOMASI,BRIEF,10,13.7297,8.33272
SHITOMASI,BRIEF,11,11.3061,6.2
SHITOMASI,BRIEF,12,9.44414,7.28272
SHITOMASI,BRIEF,13,9.22307,8.15093
SHITOMASI,BRIEF,14,10.9678,6.95048
SHITOMASI,BRIEF,15,8.09422,6.41746
SHITOMASI,BRIEF,16,8.81392,6.57335
SHITOMASI,BRIEF,17,10.2926,7.23552
SHITOMASI,BRIEF,18,8.30978,5.28342
SHITOMASI,ORB,1,12.9722,6.49668
SHITOMASI,ORB,2,12.264,6.9518
SHITOMASI,ORB,3,16.963,7.15983
SHITOMASI,ORB,4,12.4855,8.13245
SHITOMASI,ORB,5,13.2465,7.48591
